Type-sub,Type-obj,Mono-sub,Mono-obj,Streng-sub,Streng-obj,neg,pred,Type-sub,Type-obj,Mono-sub,Mono-obj,Streng-sub,Streng-obj,neg,pred
num,num,Non-mono,Non-mono,4,10,no,high,,,,,,,,
Non-num,num,down,Non-mono,0,10,no,high,,,,,,,,
Non-num,Non-num,down,down,0,0,no,low,,,,,,,,
num,num,Non-mono,up,6,7.5,no,high,,,,,,,,
Non-num,num,up,Non-mono,6,7.5,no,high,,,,,,,,
Non-num,num,down,Non-mono,4,7.5,no,high,,,,,,,,
Non-num,Non-num,up,up,10,2,no,high,Non-num,num,up,Non-mono,2,7.5,down,high
Non-num,Non-num,up,up,10,2,no,high,num,num,Non-mono,Non-mono,,,up,high
Non-num,num,up,Non-mono,6,10,no,high,,,,,,,,
Non-num,num,up,down,6,5,no,high,,,,,,,,
Non-num,num,up,down,10,2.5,no,high,,,,,,,,
,,,,,,,,,,,,,,,
Non-num,Non-num,down,up,0,10,no,right,,,,,,,,
num,Non-num,Non-mono,down,2,4,no,low,,,,,,,,
Non-num,num,up,up,6,7.5,no,high,,,,,,,,
num,num,Non-mono,down,6,1,no,low,,,,,,,,
Non-num,no,up,,6,10,no,high,,,,,,,,
num,num,Non-mono,down,4,2.5,no,high,num,num,Non-mono,Non-mono,,,no,high
Non-num,no,down,,1,,no,high,,,,,,,,
num,no,Non-mono,,6,10,yes,high,,,,,,,,
,,,,,,,,,,,,,,,
num,no,Non-mono,,6,10,no,high,num,Non-num,Non-mono,Non-mono,2,9,no,high
,,,,,,,,,,,,,,,
Non-num,up,Non-mono,up,6,6,no,high,Non-num,Non-num,up,up,2,10,no,high
num,num,Non-mono,down,10,4,no,high,,,,,,,,
Non-num,Non-num,up,up,6,6,no,high,,,,,,,,
Non-num,no,up,,6,,no,low,,,,,,,,
Non-num,no,up,,2,,no,low,,,,,,,,
Non-num,no,up,,6,,no,low,Non-num,Non-num,down,up,0,10,no,high
Non-num,no,up,,2,,no,low,,,,,,,,
Non-num,no,up,,6,,no,low,,,,,,,,
Non-num,no,up,,6,,no,high,Non-num,Non-num,up,up,2,10,no,high
num,Non-num,Non-mono,up,2,10,no,high,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
